id,nom_canonique,identifiant,periode
1,AELIANUS SOPHISTES,tlg0545,antique
2,ALBERTUS MAGNUS,albertus_magnus,autre
3,AMBROSIUS,stoa0022,antique
4,ANTIGONUS,tlg0568,antique
5,APOLLONIUS,apollonius,autre
6,APSYRTOS,apsyrtos,autre
7,ARISTOTELES,tlg0086,antique
8,ARRIANUS,tlg0074,antique
9,ARTEMIDORUS,tlg0553,antique
10,ATHENAEUS,tlg0008,antique
11,AVIANUS,stoa004,antique
12,BABRIUS,tlg0614,antique
13,BASILIUS,tlg2040,antique
14,CASSIANUS BASSUS,cassianus_bassus,autre
15,COLUMELLA,phi0845,antique
16,DIODORE,tlg0060,antique
17,ESOPUS,tlg0096,antique
18,EUCHERIUS,stoa0117,antique
19,GALENUS,tlg0057,antique
20,GRATTIUS,phi0887,antique
21,HERODOTUS,tlg0016,antique
22,HESIODUS,tlg0020,antique
23,HIEROCLES,hierocles,autre
24,HIPPOCRATES,tlg0627,antique
25,ISIDORUS HISPALENSIS,stoa0159,antique
26,LUCIANUS SAMOSATENSIS,tlg0062,antique
27,"NEMESIANUS, MARCUS AURELIUS OLYMPUS",stoa0209,antique
28,NICANDER COLOPHONIUS,tlg0022,antique
29,OPPIANUS-1,tlg0023,antique
30,OPPIANUS-2,tlg0024,antique
31,OVIDIUS,stoa0216,antique
32,PHAEDRUS,phi0975,antique
33,PHILO ALEXANDRINUS,philo_alexandrinus,antique
34,PHILOUMENOS/philomenos,philoumenos_philomenos,antique
35,PHYSIOLOGUS-G-I,physiologus_g_i,autre
36,PHYSIOLOGUS-G-II,physiologus_g_ii,autre
37,PHYSIOLOGUS-G-III,physiologus_g_iii,autre
38,PHYSIOLOGUS-L-A,physiologus_l_a,autre
39,PHYSIOLOGUS-L-B,physiologus_l_b,autre
40,PHYSIOLOGUS-L-C,physiologus_l_c,autre
41,PHYSIOLOGUS-L-Y,physiologus_l_y,autre
42,PLATO,tlg0059,antique
43,PLINIUS MAJOR,phi0978,antique
44,PLUTARCHUS,tlg0007,antique
45,PORPHYRIUS,tlg2034,antique
46,PS-DIOSCORIDE,ps_dioscoride,autre
47,DENYS (pseudo),tlg0084,antique
48,SEMONIDES AMORGINUS,tlg0260,antique
49,STRABO,tlg0099,antique
50,STRATO LAMPSACENUS,tlg1696,antique
51,THEOMNESTOS,theomnestos,autre
52,THEOPHRASTUS,tlg0093,antique
53,THOMAS,thomas,autre
54,TIMOTHEUS GAZAEUS,timotheus_gazaeus,autre
55,VARRO,phi0684,antique
56,VINCENTIUS BELVACENSIS,vincentius_belvacensis,autre
57,XENOPHON,tlg0032,antique
58,PETRUS GALLECUS,petrus_gallecus,autre
59,HILDEBERTUS CENOMANENSIS,hildebertus_cenomanensis,autre
60,CONRAD DE HALBERSTADT,animaux_encyclopedies/Conrad,medieval
61,ENGELBERTUS ADMONTENSIS,animaux_encyclopedies/Engelbertus,medieval
62,IOHANNES DE CUBA,animaux_encyclopedies/Iohannes_Cuba,medieval
63,IOHANNES EGIDIUS ZAMORENSIS,animaux_encyclopedies/Iohannes_Egidius,medieval
64,IOHANNES DE SANCTO GEMINIANO,animaux_encyclopedies/Iohannes_Geminiano,medieval
65,MARCUS DE URBE VETERI,animaux_encyclopedies/Marcus,medieval
66,THOMAS CANTIMPRATENSIS,animaux_encyclopedies/Thomas_1,medieval
67,THOMAS CANTIMPRATENSIS,animaux_encyclopedies/Thomas_2,medieval
68,VINCENTIUS BELVACENSIS,animaux_encyclopedies/Vincentius,medieval
69,PHILO ALEXANDRINUS,tlg0018,antique
70,PHILOUMENOS,philoumenos,antique
71,PHYSIOLOGUS GRAECUS I,physiologus_grec_1,autre
72,PHYSIOLOGUS GRAECUS II,physiologus_grec_2,autre
73,PHYSIOLOGUS GRAECUS III,physiologus_grec_3,autre
74,PHYSIOLOGUS LATINUS A,physiologus_lat_a,autre
75,PHYSIOLOGUS LATINUS B,physiologus_lat_b,autre
76,PHYSIOLOGUS LATINUS C,physiologus_lat_c,autre
77,PHYSIOLOGUS LATINUS Y,physiologus_lat_y,autre
78,PSEUDO-DIOSCORIDES,pseudo_dioscoride,antique
79,HILDEBERTUS CENOMANENSIS,hildebertus,medieval
